cx,ticker,bid,ask,ts
CI1,HCC,675.0,799.0,1761416200623
CI1,BRO,2010.0,3000.0,1761416200623
IC1,DA,50000.0,55000.0,1761416200623
NC1,LCB,310000.0,740000.0,1761416200623
CI2,LDE,,10000.0,1761416200623
AI1,LDI,,549.0,1761416200623
NC2,LDI,,740.0,1761416200623
CI1,LFP,3000.0,9000.0,1761416200623
AI1,RGO,1800.0,2490.0,1761416200623
NC1,STL,1800.0,1850.0,1761416200623
AI1,ES,1210.0,1380.0,1761416200623
AI1,SA,7200.0,,1761416200623
IC1,HSS,2000.0,2680.0,1761416200623
AI1,CQL,,1900000.0,1761416200623
AI1,HD,2320.0,2700.0,1761416200623
NC1,FC,5100.0,5400.0,1761416200623
NC1,AEF,5000.0,5150.0,1761416200623
AI1,AEF,4200.0,5450.0,1761416200623
AI1,TCS,2450.0,3900.0,1761416200623
CI2,FLX,,250.0,1761416200623
CI2,LC,,9000.0,1761416200623
NC2,BGC,,720.0,1761416200623
AI1,ALO,195.0,200.0,1761416200623
NC2,AAR,,16200.0,1761416200623
NC1,ACS,,124000.0,1761416200623
NC2,DIS,,9000.0,1761416200623
CI2,INS,,160.0,1761416200623
AI1,LC,4520.0,6200.0,1761416200623
AI1,LIT,,18000.0,1761416200623
NC2,LOG,,69700.0,1761416200623
CI1,MFE,60000.0,91800.0,1761416200623
IC1,NV1,135000.0,136000.0,1761416200623
NC1,RSI,500.0,1090.0,1761416200623
IC1,SEQ,16000.0,,1761416200623
NC1,ATA,24100.0,27900.0,1761416200623
AI1,FSE,700000.0,1490000.0,1761416200623
CI1,CQL,,1900000.0,1761416200623
CI1,ALO,182.0,219.0,1761416200623
CI1,PPA,,265.0,1761416200623
NC1,GV,2050.0,2450.0,1761416200623
AI1,FLO,21000.0,30000.0,1761416200623
CI1,MGS,121.0,199.0,1761416200623
IC1,N,92.0,99.9,1761416200623
AI1,LU,,140000.0,1761416200623
NC2,AEF,,4500.0,1761416200623
AI1,BRP,4000.0,6000.0,1761416200623
CI2,N,100.0,130.0,1761416200623
AI1,HCC,675.0,734.0,1761416200623
NC1,OFF,90.0,96.0,1761416200623
CI1,LIO,400.0,480.0,1761416200623
NC1,SIO,105.0,121.0,1761416200623
IC1,CCD,80000.0,80100.0,1761416200623
IC1,CQT,,500000.0,1761416200623
CI2,DD,,25000.0,1761416200623
IC1,FIR,,1400000.0,1761416200623
NC2,HE3,220.0,942.0,1761416200623
IC1,IDC,11000.0,11100.0,1761416200623
NC2,INS,,170.0,1761416200623
CI2,MAI,,400.0,1761416200623
NC2,MAI,300.0,380.0,1761416200623
AI1,MB,7600.0,8990.0,1761416200623
NC2,MB,,8400.0,1761416200623
AI1,TCO,401.0,800.0,1761416200623
CI1,ADR,71000.0,100000.0,1761416200623
NC1,HSE,12500.0,13500.0,1761416200623
CI1,MAG,89.0,349.0,1761416200623
NC1,FAN,1830.0,2190.0,1761416200623
NC1,BRO,1800.0,2300.0,1761416200623
NC1,LES,915.0,1490.0,1761416200623
CI1,NN,55000.0,57000.0,1761416200623
NC2,ATA,,38000.0,1761416200623
CI1,ATA,,27500.0,1761416200623
AI1,GRN,340.0,369.0,1761416200623
NC2,MG,,80.0,1761416200623
NC2,F,,2900.0,1761416200623
IC1,BBH,2540.0,2550.0,1761416200623
AI1,HE3,270.0,550.0,1761416200623
IC1,FOD,400.0,499.0,1761416200623
NC1,APT,12000.0,,1761416200623
IC1,BRO,1000.0,2500.0,1761416200623
NC2,COM,,116000.0,1761416200623
AI1,DCH,23000.0,38000.0,1761416200623
CI1,ENG,,997000.0,1761416200623
CI2,HE3,350.0,,1761416200623
IC1,VEG,292.0,332.0,1761416200623
CI2,LTA,,3800.0,1761416200623
NC2,LTA,3000.0,3800.0,1761416200623
NC2,MAG,,350.0,1761416200623
CI2,MFK,22.0,,1761416200623
CI2,RDE,,27000.0,1761416200623
IC1,GRA,2630.0,3320.0,1761416200623
IC1,HCB,,3900000.0,1761416200623
NC1,GC,288.0,400.0,1761416200623
IC1,GAL,200.0,267.0,1761416200623
NC2,MGS,,85.0,1761416200623
AI1,FC,3600.0,4640.0,1761416200623
NC1,BAI,17000.0,20000.0,1761416200623
IC1,GIN,1500.0,1610.0,1761416200623
NC1,CU,1810.0,1980.0,1761416200623
AI1,DD,36000.0,40000.0,1761416200623
AI1,TRS,100000.0,250000.0,1761416200623
NC1,DCM,4360.0,5100.0,1761416200623
CI1,BRP,,6000.0,1761416200623
AI1,CQT,,549000.0,1761416200623
AI1,I,859.0,1380.0,1761416200623
CI2,REP,,700.0,1761416200623
IC1,MPC,1600.0,2210.0,1761416200623
AI1,TIO,251.0,300.0,1761416200623
NC2,MCG,27.0,35.0,1761416200623
NC1,DCS,1900.0,2200.0,1761416200623
CI1,DEC,,19500.0,1761416200623
NC1,KOM,780.0,848.0,1761416200623
AI1,EXO,248.0,309.0,1761416200623
IC1,MLI,,30000.0,1761416200623
NC1,PDA,2000.0,2300.0,1761416200623
CI1,MHP,,4300.0,1761416200623
IC1,MHP,3000.0,4800.0,1761416200623
NC1,AU,1520.0,1790.0,1761416200623
CI1,MPC,1620.0,2100.0,1761416200623
AI1,MTC,,2400.0,1761416200623
NC1,LI,1760.0,2230.0,1761416200623
CI1,BTA,1400.0,1550.0,1761416200623
NC2,ASE,,48000.0,1761416200623
CI1,CQM,,1300000.0,1761416200623
CI1,MWF,1.0,399.0,1761416200623
IC1,LFE,150000.0,175000.0,1761416200623
AI1,TSH,32400.0,33900.0,1761416200623
AI1,WAI,90000.0,96000.0,1761416200623
IC1,LES,,1430.0,1761416200623
CI1,CL,3000.0,3300.0,1761416200623
NC1,H2O,39.9,40.0,1761416200623
CI1,ES,1110.0,1390.0,1761416200623
AI1,MHP,4500.0,5990.0,1761416200623
NC1,N,95.0,100.0,1761416200623
NC2,N,90.0,97.0,1761416200623
CI1,AWF,,6000.0,1761416200623
IC1,CTF,16000.0,,1761416200623
NC1,DCH,22000.0,23000.0,1761416200623
CI1,DCM,3710.0,6000.0,1761416200623
AI1,FET,2700.0,3200.0,1761416200623
AI1,GV,2100.0,2290.0,1761416200623
AI1,LCB,500000.0,650000.0,1761416200623
AI1,LFP,3500.0,,1761416200623
NC2,MWF,,410.0,1761416200623
NC2,NAB,70.0,140.0,1761416200623
CI2,NCS,,90.0,1761416200623
IC1,NCS,29.0,39.0,1761416200623
NC2,NCS,,50.0,1761416200623
CI1,NST,1210.0,1600.0,1761416200623
NC1,SCB,,79000.0,1761416200623
CI2,MCG,30.0,35.0,1761416200623
AI1,BFR,3500.0,4500.0,1761416200623
NC1,MLI,24000.0,33000.0,1761416200623
IC1,TUB,100.0,248.0,1761416200623
NC1,FLO,21000.0,,1761416200623
CI1,FC,4500.0,5000.0,1761416200623
NC2,LHP,,3500.0,1761416200623
CI2,NG,,1300.0,1761416200623
NC2,VEG,300.0,375.0,1761416200623
CI2,AST,,10000.0,1761416200623
AI1,CA,600.0,1200.0,1761416200623
NC2,CF,,7850.0,1761416200623
NC2,LBH,4900.0,6500.0,1761416200623
CI1,LCR,1800.0,,1761416200623
CI1,LDI,350.0,649.0,1761416200623
CI1,NG,650.0,1000.0,1761416200623
IC1,NG,655.0,1000.0,1761416200623
NC1,RCT,,1200000.0,1761416200623
CI1,BR1,500000.0,800000.0,1761416200623
AI1,HOP,1660.0,2850.0,1761416200623
IC1,COT,2700.0,3130.0,1761416200623
CI1,CA,200.0,500.0,1761416200623
NC1,BL,8000.0,9000.0,1761416200623
AI1,WM,11000.0,11900.0,1761416200623
NC2,BTS,,529.0,1761416200623
AI1,AWH,12000.0,19500.0,1761416200623
CI2,O,83.5,110.0,1761416200623
NC2,O,75.0,90.0,1761416200623
NC1,AR,166.0,230.0,1761416200623
AI1,BRM,172.0,180.0,1761416200623
IC1,AST,,2800.0,1761416200623
IC1,BTA,1110.0,1450.0,1761416200623
AI1,BRO,2020.0,2500.0,1761416200623
AI1,DDT,2500.0,2600.0,1761416200623
CI1,DRF,5500.0,6500.0,1761416200623
AI1,GEN,,200000.0,1761416200623
NC2,MGC,,20000.0,1761416200623
CI2,MGS,,130.0,1761416200623
CI2,NST,,2500.0,1761416200623
NC2,NST,,1570.0,1761416200623
CI2,NUT,,300.0,1761416200623
NC2,OFF,,100.0,1761416200623
AI1,RTA,14100.0,16400.0,1761416200623
NC1,CQM,650000.0,1000000.0,1761416200623
AI1,HTE,3500000.0,,1761416200623
IC1,EXO,310.0,325.0,1761416200623
AI1,ADS,90100.0,115000.0,1761416200623
CI1,CHA,,52000.0,1761416200623
CI1,GAL,141.0,169.0,1761416200623
CI2,DIS,,9500.0,1761416200623
IC1,DCL,,7990.0,1761416200623
IC1,FEO,111.0,119.0,1761416200623
AI1,AWF,5500.0,5700.0,1761416200623
NC2,LST,100.0,110.0,1761416200623
CI1,DCL,,6750.0,1761416200623
NC1,OS,44000.0,47000.0,1761416200623
IC1,FE,1000.0,1310.0,1761416200623
NC1,LIO,326.0,390.0,1761416200623
CI2,DV,,15000.0,1761416200623
CI1,EES,24000.0,55000.0,1761416200623
IC1,KV,29000.0,31800.0,1761416200623
AI1,MWF,400.0,459.0,1761416200623
CI2,NA,1.1,25.1,1761416200623
IC1,NFI,16.0,17.2,1761416200623
NC2,NS,,342.0,1761416200623
CI1,PCB,2600.0,3600.0,1761416200623
IC1,PCB,1800.0,2730.0,1761416200623
NC2,PCB,,3390.0,1761416200623
