ts_ms,category,rank,cx,ticker,value,aux,note
1761416245190,maker_profit,33,NC2,BOR,61.76470588235294,210.0,
1761416245190,maker_profit,34,AI1,TAC,60.0,225000.0,
1761416245190,maker_profit,35,CI1,ZIR,60.0,750.0,
1761416245190,maker_profit,36,CI2,H2O,60.0,15.0,
1761416245190,maker_profit,37,CI1,MAG,59.36073059360731,130.0,
1761416245190,maker_profit,38,AI1,F,59.183673469387756,1450.0,
1761416245190,maker_profit,39,AI1,TS,58.831341301460824,221.5,
1761416245190,maker_profit,40,IC1,WCB,57.80590717299578,274000.0,
1761416245190,maker_profit,41,CI1,PIB,55.55555555555556,250.0,
1761416245190,maker_profit,42,AI1,VF,53.84615384615385,17.5,
1761416245190,maker_profit,43,NC1,CRU,53.84615384615385,350000.0,
1761416245190,maker_profit,44,CI1,CQT,52.38095238095238,110000.0,
1761416245190,maker_profit,45,IC1,FET,52.2673031026253,1095.0,
1761416245190,maker_profit,46,CI1,SIL,51.417004048582996,635.0,
1761416245190,maker_profit,47,AI1,CC,50.943396226415096,675000.0,
1761416245190,maker_profit,48,AI1,LCR,50.0,1800.0,
1761416245190,maker_profit,49,CI1,LFP,50.0,3000.0,
1761416245190,maker_profit,50,IC1,CAP,47.36842105263158,90.0,
